ra,dec,d
115.1439175,1.987652304,660.0215
115.0926046,2.014819181,658.4038
115.0409794,2.042167724,656.7855
114.9887302,2.069647561,655.1669
114.9361247,2.09717664,653.5477
114.883073,2.124929209,651.9282
114.8296199,2.152818455,650.3082
114.7756315,2.180885862,648.6878
114.7212417,2.209090409,647.067
114.6663613,2.237386521,645.4458
114.6110795,2.265820194,643.8243
114.5552621,2.294433027,642.2024
114.499043,2.323183875,640.5802
114.4422883,2.352114392,638.9577
114.3851317,2.38118337,637.3349
114.3274394,2.410432521,635.7118
114.2693452,2.439820573,634.0884
114.2108041,2.469434971,632.4649
114.1517719,2.499143016,630.841
114.0922037,2.529032224,629.217
114.0321884,2.559148504,627.5927
113.9716818,2.589359136,625.9683
113.9106389,2.619751683,624.3437
113.8491935,2.650284645,622.7189
113.787256,2.681132966,621.094
113.7248269,2.712076545,619.469
113.6618611,2.743203007,617.8439
113.5983587,2.774512611,616.2188
113.5344534,2.805963692,614.5935
113.4699665,2.837685839,612.9683
113.4050765,2.869549881,611.343
113.3396047,2.901685498,609.7177
113.2736406,2.933917924,608.0924
113.2071836,2.966467927,606.4672
113.140234,2.999115156,604.8419
113.0727023,3.032034968,603.2168
113.0046777,3.065052434,601.5917
112.9361599,3.098388412,599.9668
112.8671043,3.131910079,598.3419
112.7975109,3.165617656,596.7172
112.7273346,3.199599041,595.0927
112.6567542,3.233724488,593.4683
112.5855909,3.268124177,591.8441
112.5138444,3.30279837,590.2202
112.4416041,3.337571806,588.5964
112.3687357,3.372707953,586.9729
112.2953732,3.407943729,585.3498
112.2215164,3.443500211,583.7269
112.1470758,3.479332292,582.1043
112.072096,3.515352354,580.4819
111.9965321,3.551648436,578.8601
111.9204288,3.58813287,577.2385
111.843741,3.624893724,575.6174
111.7664686,3.661931205,573.9967
111.6886563,3.699157574,572.3764
111.6102144,3.736748898,570.7566
111.5313215,3.774574689,569.1373
111.451754,3.812632611,567.5184
111.3716011,3.850968079,565.9
111.290952,3.889626463,564.2823
111.2096724,3.928429465,562.6651
111.1277622,3.967598544,561.0484
111.0452658,4.007045813,559.4324
110.962183,4.046771413,557.817
110.8785136,4.086775479,556.2022
110.7942127,4.127146285,554.5881
110.7093695,4.167707675,552.9748
110.6238943,4.208636069,551.3621
110.5378316,4.249843423,549.7502
110.4510471,4.291372938,548.139
110.3637641,4.333226745,546.5286
110.2758033,4.375314704,544.919
110.1872094,4.417770263,543.3103
110.097982,4.460593531,541.7024
110.0080761,4.503651226,540.0953
109.9176257,4.547121859,538.4891
109.8264962,4.590827029,536.884
109.7347322,4.634900179,535.2797
109.6422437,4.67929632,533.6764
109.5492095,4.724105591,532.0741
109.4554503,4.769237939,530.4729
109.3611,4.814650001,528.8727
109.2659791,4.860473599,527.2735
109.1702217,4.90666535,525.6755
109.0738723,4.953136757,524.0786
108.9768408,5.000064724,522.4828
108.8790373,5.047404252,520.8882
108.7806406,5.095023291,519.2948
108.6814711,5.143053806,517.7026
108.5816629,5.191452201,516.1116
108.4811257,5.240173386,514.522
108.3799042,5.28935082,512.9336
108.2779978,5.338984413,511.3466
108.1753612,5.388940468,509.7609
108.0720837,5.439263798,508.1766
107.9679853,5.490086539,506.5937
107.8631554,5.541231264,505.0122
107.7577279,5.592876365,503.4323
107.6514332,5.644886748,501.8538
107.5444502,5.697352134,500.2767
107.4368233,5.750183574,498.7013
107.3283723,5.80351327,497.1273
107.2191416,5.857252248,495.5551
107.1091754,5.911533929,493.9844
106.9984732,5.96613554,492.4155
106.8869445,6.021234261,490.8481
106.7747233,6.076785941,489.2826
106.6617193,6.13274523,487.7188
